date,weight
6/30/2011,146
7/1/2011,145
7/5/2011,145
7/6/2011,146
7/7/2011,145
7/9/2011,147
7/11/2011,145
7/12/2011,144
7/14/2011,144
7/15/2011,144
7/19/2011,144
7/20/2011,143
7/25/2011,144
7/27/2011,146
7/28/2011,144
8/5/2011,145
8/14/2011,144
8/21/2011,145
9/20/2011,142
10/11/2011,142
10/22/2011,141
10/26/2011,140
10/30/2011,140
11/1/2011,140
11/7/2011,142
11/13/2011,141
11/20/2011,142
11/30/2011,140
12/12/2011,139
12/21/2011,139
1/9/2012,141
1/16/2012,140
1/22/2012,140
1/26/2012,140
1/29/2012,140
2/20/2012,136
4/1/2012,134
7/28/2012,141
8/3/2012,142
8/18/2012,142
8/27/2012,144
9/4/2012,141
9/30/2012,141
1/9/2013,148
1/13/2013,144
5/29/2013,150
7/14/2013,149
7/28/2013,147
8/1/2013,149
8/13/2013,149
8/20/2013,145
8/27/2013,144
9/3/2013,145
9/4/2013,144
11/17/2013,146
1/13/2014,147
1/18/2014,147
2/10/2014,148
3/18/2014,145
7/18/2014,147
7/22/2014,146
8/17/2014,146
8/28/2014,143
8/30/2014,141
12/15/2014,142
12/22/2014,141
1/5/2015,139
1/6/2015,139
1/7/2015,140
1/9/2015,141
1/10/2015,139
1/12/2015,139
1/14/2015,138
1/16/2015,139
1/20/2015,137
1/21/2015,137
1/22/2015,139
1/23/2015,137
1/24/2015,137
1/26/2015,137
1/27/2015,138
1/28/2015,137
1/29/2015,138
1/30/2015,137
2/1/2015,137
2/2/2015,136
2/3/2015,137
2/4/2015,137
2/5/2015,138
2/6/2015,137
2/9/2015,136
2/10/2015,137
2/11/2015,138
2/12/2015,138
8/12/2015,148
8/26/2015,147
11/2/2015,146
